video_id,image,fall_probability,confidence,label,reason
2654312,frame_3907.jpg,0,100,normal,The person is standing upright and appears to be using the escalator safely. There are no visible signs of a fall or any unusual behavior.
2654312,frame_3911.jpg,0,100,normal,The person is standing upright and appears to be using the escalator safely. There are no visible signs of a fall or any unusual behavior that would suggest a fall has occurred.
2654312,frame_3916.jpg,0,100,normal,The person is standing upright and appears to be using the escalator normally without any signs of a fall.
2654312,frame_3921.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which appear to be functioning normally without any visible obstructions or malfunctions that would suggest a risk of falling."
2654312,frame_3926.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which are moving smoothly. There are no visible signs of a fall, such as a person lying on the ground or an obstruction on the steps. The person appears to be in control and moving normally."
2654312,frame_3931.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which appear to be functioning normally without any visible obstructions or malfunctions that would suggest a risk of falling."
2654312,frame_3936.jpg,0,100,normal,"The image shows a person standing upright and holding onto the handrail, indicating they are using the escalator safely. There are no visible signs of a fall or any irregularities that would suggest a fall has occurred."
2654312,frame_3941.jpg,0,100,normal,"The person is standing upright and holding onto the handrail, indicating they are using the escalator safely."
2654312,frame_3946.jpg,0,100,normal,"The image shows a person standing upright and holding onto the handrail, indicating they are using the escalator safely. There are no visible signs of a fall or any unusual behavior that would suggest a fall has occurred."
2654312,frame_3951.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using it properly. There are no signs of a fall or any unusual positioning that would suggest an accident."
2654312,frame_3956.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which is a normal and safe position. There are no visible signs of a fall, such as someone lying on the ground or an overturned bag. The person appears to be in control and not in a precarious position."
2654312,frame_3961.jpg,0,100,normal,"The image shows a person standing on the escalator, not in a position that suggests they have fallen. The escalator appears to be functioning normally."
2654312,frame_3966.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which is a normal and safe position. There are no visible signs of a fall, such as someone lying on the ground or an overturned bag. The person appears to be in control and moving with the escalator."
2654312,frame_3971.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which appear to be functioning normally without any visible obstructions or malfunctions that would suggest a risk of falling."
2654312,frame_3976.jpg,0,100,normal,The escalator appears to be functioning normally with no visible obstructions or people in distress. The person on the escalator is standing upright and seems to be moving safely.
2654312,frame_3981.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which are moving, but there is no indication of a fall. The person appears to be using the escalator normally."
2654312,frame_3986.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using it properly. There are no signs of a fall or any unusual positioning that would suggest an accident."
2654351,frame_4122.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which appear to be functioning normally without any visible signs of malfunction or obstruction. There are no indications of a fall having occurred."
2654351,frame_4126.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which are moving, but there is no indication of a fall. The person appears to be standing normally, and there are no visible signs of distress or an accident."
2654351,frame_4131.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which are moving, but there is no indication of a fall. The person appears to be using the escalator normally."
2654351,frame_4136.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which appear to be functioning normally without any visible obstructions or issues that would cause a fall."
2654351,frame_4141.jpg,0,100,normal,"The person is standing upright and appears to be holding onto the handrail, which suggests they are using the escalator properly. There is no visible indication of a fall or any unusual behavior that would suggest a fall has occurred."
2654351,frame_4146.jpg,0,100,normal,"The person is standing on the escalator steps, which is a normal and safe position. There is no indication of any fall or accident."
2654351,frame_4151.jpg,0,100,normal,"The person is standing on the escalator steps, which is a normal and safe position. There is no indication of any fall or accident."
2654351,frame_4156.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which are moving, but there is no indication of a fall. The person appears to be holding onto the handrail, which is a common safety practice when using escalators."
2654351,frame_4161.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which is a normal and safe position. There are no visible signs of a fall, such as someone lying on the ground or an overturned escalator."
2654351,frame_4166.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using it properly. There are no visible signs of a fall, such as someone lying on the ground or an obstruction on the escalator."
2654351,frame_4171.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which is a normal and safe position. There are no visible signs of a fall, such as someone lying on the ground or an unusual posture that suggests a fall."
2654351,frame_4176.jpg,0,100,normal,"The image shows a person standing on the escalator steps, not in a position that suggests a fall. The person appears to be holding onto the handrail, which is a common and safe practice when using an escalator."
2654351,frame_4181.jpg,10,80,normal,"The person appears to be standing normally on the escalator, and there are no visible signs of a fall, such as a person lying on the ground or an overturned bag."
2654351,frame_4186.jpg,10,80,normal,"The person appears to be standing normally on the escalator, and there is no visible indication of a fall. However, without additional context, it's difficult to be completely certain."
2654351,frame_4191.jpg,50,80,fallOnEscalator,"The person appears to be in a precarious position, leaning forward on the escalator steps, which could suggest a risk of falling. However, without additional context, it's difficult to determine the exact likelihood."
2654351,frame_4196.jpg,10,80,normal,"The person appears to be standing normally on the escalator steps, and there is no visible indication of a fall. The escalator is functioning normally, and the person seems to be in control."
2654351,frame_4201.jpg,10,80,normal,"The person appears to be standing normally on the escalator, and there are no visible signs of a fall, such as a person lying on the ground or an overturned stroller."
2654351,frame_4206.jpg,50,80,fallOnEscalator,"The person appears to be in a precarious position, leaning over the edge of the escalator, which suggests a risk of falling. However, there is no clear indication of a fall having already occurred."
2654351,frame_4211.jpg,50,80,fallOnEscalator,"The image shows a person lying on the escalator, which could suggest a fall. However, without additional context, it's unclear if they are actually injured or if this is a staged situation."
2654351,frame_4216.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which is a normal and safe position. There are no visible signs of a fall, such as someone lying on the ground or an overturned stroller. The escalator appears to be functioning properly with no obstructions or malfunctions."
2654351,frame_4221.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which is a normal and safe position. There are no visible signs of a fall, such as someone lying on the ground or an unusual posture that suggests a fall."
2654351,frame_4226.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which is a normal and safe position. There are no visible signs of a fall, such as someone lying on the ground or an unusual posture that suggests a fall."
2654351,frame_4231.jpg,50,80,fallOnEscalator,"The image shows a person lying on the escalator, which could indicate a fall. However, without additional context, it's unclear if they are actually injured or if this is a staged situation."
2654351,frame_4236.jpg,0,100,normal,"The image shows a person standing upright on the escalator, with no signs of a fall or any indication of an accident. The escalator appears to be functioning normally."
2654351,frame_4241.jpg,0,100,normal,"The escalator appears to be functioning normally with no visible obstructions or people in distress. The handrail and steps are intact, and there are no signs of a fall having occurred."
2654351,frame_4246.jpg,0,100,normal,"The escalator appears to be functioning normally with no visible obstructions or people in distress. The handrails and steps are intact, and there are no signs of a recent fall."
2654560,frame_4041.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using the escalator properly. There are no signs of a fall, such as a person lying on the ground or an overturned bag. The person appears to be in control and moving safely."
2654560,frame_4045.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using the escalator properly. There are no signs of a fall, such as a person lying on the ground or an overturned bag. The person appears to be in control and moving safely."
2654560,frame_4050.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using the escalator properly. There are no visible signs of a fall, such as someone lying on the ground or an overturned stroller. The person appears to be in a normal, upright position, suggesting they are not in a situation where they have fallen."
2654560,frame_4055.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using the escalator properly. There are no visible signs of a fall, such as the person on the ground or disarrayed items."
2654560,frame_4060.jpg,0,100,normal,"The image shows a person standing on the escalator steps, which indicates they are using the escalator properly. There are no visible signs of a fall, such as a person lying on the ground or an overturned bag. The person appears to be in a normal, upright position, suggesting they are not in a situation where they have fallen."
